"","date","ntrips"
"1",1994-01-01,157
"2",1994-02-01,169
"3",1994-03-01,195
"4",1994-04-01,124
"5",1994-05-01,169
"6",1994-06-01,180
"7",1994-07-01,186
"8",1994-08-01,200
"9",1994-09-01,225
"10",1994-10-01,205
"11",1994-11-01,141
"12",1994-12-01,143
"13",1995-01-01,108
"14",1995-02-01,224
"15",1995-03-01,138
"16",1995-04-01,153
"17",1995-05-01,191
"18",1995-06-01,167
"19",1995-07-01,220
"20",1995-08-01,207
"21",1995-09-01,225
"22",1995-10-01,234
"23",1995-11-01,232
"24",1995-12-01,114
"25",1996-01-01,134
"26",1996-02-01,179
"27",1996-03-01,222
"28",1996-04-01,172
"29",1996-05-01,150
"30",1996-06-01,132
"31",1996-07-01,235
"32",1996-08-01,200
"33",1996-09-01,223
"34",1996-10-01,234
"35",1996-11-01,194
"36",1996-12-01,126
"37",1997-01-01,205
"38",1997-02-01,158
"39",1997-03-01,230
"40",1997-04-01,162
"41",1997-05-01,180
"42",1997-06-01,124
"43",1997-07-01,194
"44",1997-08-01,188
"45",1997-09-01,188
"46",1997-10-01,195
"47",1997-11-01,130
"48",1997-12-01,136
"49",1998-01-01,90
"50",1998-02-01,52
"51",1998-03-01,158
"52",1998-04-01,156
"53",1998-05-01,195
"54",1998-06-01,191
"55",1998-07-01,129
"56",1998-08-01,118
"57",1998-09-01,162
"58",1998-10-01,143
"59",1998-11-01,109
"60",1998-12-01,101
"61",1999-01-01,107
"62",1999-02-01,111
"63",1999-03-01,138
"64",1999-04-01,118
"65",1999-05-01,121
"66",1999-06-01,120
"67",1999-07-01,173
"68",1999-08-01,143
"69",1999-09-01,136
"70",1999-10-01,169
"71",1999-11-01,120
"72",1999-12-01,108
"73",2000-01-01,120
"74",2000-02-01,61
"75",2000-03-01,100
"76",2000-04-01,160
"77",2000-05-01,85
"78",2000-06-01,139
"79",2000-07-01,110
"80",2000-08-01,133
"81",2000-09-01,135
"82",2000-10-01,125
"83",2000-11-01,107
"84",2000-12-01,105
"85",2001-01-01,73
"86",2001-02-01,84
"87",2001-03-01,131
"88",2001-04-01,109
"89",2001-05-01,126
"90",2001-06-01,118
"91",2001-07-01,153
"92",2001-08-01,129
"93",2001-09-01,155
"94",2001-10-01,127
"95",2001-11-01,87
"96",2001-12-01,56
"97",2002-01-01,89
"98",2002-02-01,148
"99",2002-03-01,112
"100",2002-04-01,133
"101",2002-05-01,134
"102",2002-06-01,122
"103",2002-07-01,80
"104",2002-08-01,71
"105",2002-09-01,88
"106",2002-10-01,74
"107",2002-11-01,83
"108",2002-12-01,47
"109",2003-01-01,83
"110",2003-02-01,104
"111",2003-03-01,112
"112",2003-04-01,119
"113",2003-05-01,112
"114",2003-06-01,125
"115",2003-07-01,113
"116",2003-08-01,106
"117",2003-09-01,113
"118",2003-10-01,114
"119",2003-11-01,66
"120",2003-12-01,33
"121",2004-01-01,52
"122",2004-02-01,44
"123",2004-03-01,71
"124",2004-04-01,86
"125",2004-05-01,72
"126",2004-06-01,57
"127",2004-07-01,99
"128",2004-08-01,88
"129",2004-09-01,90
"130",2004-10-01,51
"131",2004-11-01,36
"132",2004-12-01,32
"133",2005-01-01,50
"134",2005-02-01,58
"135",2005-03-01,44
"136",2005-04-01,88
"137",2005-05-01,69
"138",2005-06-01,94
"139",2005-07-01,75
"140",2005-08-01,94
"141",2005-09-01,83
"142",2005-10-01,33
"143",2005-11-01,22
"144",2005-12-01,17
"145",2006-01-01,28
"146",2006-02-01,31
"147",2006-03-01,18
"148",2006-04-01,54
"149",2006-05-01,59
"150",2006-06-01,76
"151",2006-07-01,80
"152",2006-08-01,67
"153",2006-09-01,55
"154",2006-10-01,52
"155",2006-11-01,24
"156",2006-12-01,26
"157",2007-01-01,43
"158",2007-02-01,18
"159",2007-03-01,44
"160",2007-04-01,36
"161",2007-05-01,79
"162",2007-06-01,65
"163",2007-07-01,78
"164",2007-08-01,92
"165",2007-09-01,64
"166",2007-10-01,76
"167",2007-11-01,55
"168",2007-12-01,22
"169",2008-01-01,31
"170",2008-02-01,41
"171",2008-03-01,37
"172",2008-04-01,59
"173",2008-05-01,44
"174",2008-06-01,53
"175",2008-07-01,59
"176",2008-08-01,70
"177",2008-09-01,75
"178",2008-10-01,61
"179",2008-11-01,45
"180",2008-12-01,27
"181",2009-01-01,49
"182",2009-02-01,36
"183",2009-03-01,37
"184",2009-04-01,59
"185",2009-05-01,45
"186",2009-06-01,60
"187",2009-07-01,55
"188",2009-08-01,65
"189",2009-09-01,53
"190",2009-10-01,45
"191",2009-11-01,42
"192",2009-12-01,25
"193",2010-01-01,23
"194",2010-02-01,26
"195",2010-03-01,36
"196",2010-04-01,39
"197",2010-05-01,42
"198",2010-06-01,31
"199",2010-07-01,50
"200",2010-08-01,31
"201",2010-09-01,52
"202",2010-10-01,49
"203",2010-11-01,23
"204",2010-12-01,13
"205",2011-01-01,4
"206",2011-02-01,3
"207",2011-03-01,6
"208",2011-04-01,12
"209",2011-05-01,20
"210",2011-06-01,51
"211",2011-07-01,62
"212",2011-08-01,69
"213",2011-09-01,89
"214",2011-10-01,85
"215",2011-11-01,45
"216",2011-12-01,49
"217",2012-01-01,12
"218",2012-02-01,8
"219",2012-03-01,36
"220",2012-04-01,25
"221",2012-05-01,21
"222",2012-06-01,35
"223",2012-07-01,46
"224",2012-08-01,63
"225",2012-09-01,87
"226",2012-10-01,74
"227",2012-11-01,41
"228",2012-12-01,29
"229",2013-01-01,22
"230",2013-02-01,18
"231",2013-03-01,32
"232",2013-04-01,32
"233",2013-05-01,32
"234",2013-06-01,28
"235",2013-07-01,33
"236",2013-08-01,48
"237",2013-09-01,40
"238",2013-10-01,62
"239",2013-11-01,14
"240",2013-12-01,18
"241",2014-01-01,21
"242",2014-02-01,15
"243",2014-03-01,36
"244",2014-04-01,41
"245",2014-05-01,30
"246",2014-06-01,21
"247",2014-07-01,40
"248",2014-08-01,40
"249",2014-09-01,54
"250",2014-10-01,64
"251",2014-11-01,24
"252",2014-12-01,9
"253",2015-01-01,20
"254",2015-02-01,20
"255",2015-03-01,21
"256",2015-04-01,20
"257",2015-05-01,32
"258",2015-06-01,27
"259",2015-07-01,21
"260",2015-08-01,29
"261",2015-09-01,15
"262",2015-10-01,29
"263",2015-11-01,14
"264",2015-12-01,10
"265",2016-01-01,10
"266",2016-02-01,21
"267",2016-03-01,10
"268",2016-04-01,5
"269",2016-05-01,10
"270",2016-06-01,17
"271",2016-07-01,14
"272",2016-08-01,21
"273",2016-09-01,23
"274",2016-10-01,30
"275",2016-11-01,5
"276",2016-12-01,4
